,G_Ld,Q_Ld,1071019,1071005,1071006
2018/12/26 0:00,1.933333333,10.116167,7,2.08,61.8
2018/12/26 0:15,1.888333333,10.592115,7,2.01,61.7
2018/12/26 0:30,1.92,8.438976,7,1.88,62.4
2018/12/26 0:45,1.898333333,9.853565,7,1.85,63.6
2018/12/26 1:00,1.89,9.493848,7,1.73,63.3
2018/12/26 1:15,1.92,9.564173,7,1.86,63.7
2018/12/26 1:30,1.89,9.81031,7,1.93,62.9
2018/12/26 1:45,1.923333333,10.144352,7,1.8,62.5
2018/12/26 2:00,1.888333333,9.090248,7,1.45,63.8
2018/12/26 2:15,1.888333333,8.536928,7,1.4,63.6
2018/12/26 2:30,1.908333333,9.02676,7,1.4,62.1
2018/12/26 2:45,1.885,9.074202,7,1.44,62.4
2018/12/26 3:00,1.908333333,9.825589,7,1.8,60.7
2018/12/26 3:15,1.896666667,9.130364,7,1.97,60.6
2018/12/26 3:30,1.908333333,8.946877,7,2.13,60.1
2018/12/26 3:45,1.9,9.782682,7,2.14,60.1
2018/12/26 4:00,1.881666667,8.900622,7,2.16,61.3
2018/12/26 4:15,1.923333333,9.097713,7,2.13,61.4
2018/12/26 4:30,1.88,10.230584,7,2.3,61.3
2018/12/26 4:45,1.913333333,8.569858,7,2.32,60.6
2018/12/26 5:00,1.913333333,10.171701,7,2.35,59.4
2018/12/26 5:15,1.873333333,9.880634,7,1.65,58.9
2018/12/26 5:30,1.911666667,8.482371,7,1.43,59.2
2018/12/26 5:45,1.888333333,10.038795,7,1.21,60.9
2018/12/26 6:00,1.878333333,9.042109,7,2.06,62.4
2018/12/26 6:15,1.911666667,8.562393,7,2.61,61.5
2018/12/26 6:30,1.88,9.522313,7,2.55,62.5
2018/12/26 6:45,1.913333333,9.851332,7,2.45,62
2018/12/26 7:00,1.91,10.233933,7,2.62,61.1
2018/12/26 7:15,1.891666667,9.739776,7,2.79,60.3
2018/12/26 7:30,1.9,9.305478,7,2.82,59.5
2018/12/26 7:45,1.881666667,8.349256,7,3.02,60.9
2018/12/26 8:00,1.913333333,9.290687,7,3.02,57.8
2018/12/26 8:15,1.878333333,9.592498,7,2.85,55.4
2018/12/26 8:30,1.926666667,9.758682,7,3.12,57
2018/12/26 8:45,1.91,11.513174,7,3.27,54.6
2018/12/26 9:00,1.881666667,8.900622,7,3.65,56.2
2018/12/26 9:15,1.933333333,9.468732,7,4.1,56.4
2018/12/26 9:30,1.88,10.466674,7,4.51,55.2
2018/12/26 9:45,1.906666667,9.497755,7,4.85,56.4
2018/12/26 10:00,1.91,10.473791,7,4.75,57.8
2018/12/26 10:15,1.915,11.062342,7,4.48,60.2
2018/12/26 10:30,1.903333333,10.915274,7,4.67,61.4
2018/12/26 10:45,1.886666667,9.240176,7,4.57,61.8
2018/12/26 11:00,1.91,10.15398,7,4.76,61.2
2018/12/26 11:15,1.891666667,10.373257,7,4.98,57.9
