,G_Ld,Q_Ld,1071019,1071005,1071006
2019/6/30 0:00,3.398333333,96.590624,7,17.75,94
2019/6/30 0:15,3.401666667,96.40058,7,17.86,93.6
2019/6/30 0:30,3.353333333,95.592333,7,17.48,93.9
2019/6/30 0:45,3.383333333,96.730786,7,17.57,95.2
2019/6/30 1:00,3.573333333,101.265479,7,17.82,95.3
2019/6/30 1:15,3.511666667,100.546883,7,17.68,95
2019/6/30 1:30,3.411666667,97.969284,7,17.73,95.3
2019/6/30 1:45,3.363333333,95.736611,7,17.81,95.4
2019/6/30 2:00,3.43,96.629205,7,17.74,95
2019/6/30 2:15,3.363333333,95.595822,7,17.76,94.2
2019/6/30 2:30,3.376666667,95.833447,7,17.32,94.2
2019/6/30 2:45,3.356666667,96.108886,7,17.27,94.5
2019/6/30 3:00,3.393333333,97.584869,7,17.17,94.5
2019/6/30 3:15,3.273333333,95.504148,7,17.12,94.3
2019/6/30 3:30,3.221666667,93.726982,7,17.16,94.2
2019/6/30 3:45,3.226666667,93.197104,7,17.1,93.9
2019/6/30 4:00,3.39,95.218523,7,17.12,94.2
2019/6/30 4:15,3.32,95.336987,7,17.15,94
2019/6/30 4:30,3.271666667,94.222953,7,17.19,94.4
2019/6/30 4:45,3.251666667,93.238615,7,17.28,94.6
2019/6/30 5:00,3.355,94.516322,7,17.24,94.6
2019/6/30 5:15,3.328333333,95.158315,7,17.19,95
2019/6/30 5:30,3.343333333,95.307267,7,17.23,95.1
2019/6/30 5:45,3.28,94.737552,7,17.12,95
2019/6/30 6:00,3.333333333,94.882667,7,17.03,95.2
2019/6/30 6:15,3.305,93.522775,7,17.23,95.6
2019/6/30 6:30,3.303333333,92.784225,7,17.47,95.6
2019/6/30 6:45,3.418333333,96.157443,7,17.35,95.4
2019/6/30 7:00,3.463333333,97.133339,7,17.52,95.8
2019/6/30 7:15,3.431666667,96.676158,7,17.96,95.8
2019/6/30 7:30,3.383333333,96.16428,7,18.04,95.5
2019/6/30 7:45,3.33,95.345359,7,17.85,95.1
2019/6/30 8:00,3.406666667,94.973642,7,17.7,95.2
2019/6/30 8:15,3.46,96.895016,7,17.66,95.3
2019/6/30 8:30,3.358333333,95.594287,7,17.74,95.4
2019/6/30 8:45,3.353333333,95.171222,7,17.76,95.4
2019/6/30 9:00,3.463333333,96.263489,7,17.81,95.4
2019/6/30 9:15,3.391666667,96.259163,7,18.06,95
2019/6/30 9:30,3.505,99.035528,7,18.05,94.7
2019/6/30 9:45,3.626666667,101.10697,7,18.43,95
2019/6/30 10:00,3.588333333,101.390153,7,18.52,94.7
2019/6/30 10:15,3.466666667,98.968203,7,18.7,94.6
2019/6/30 10:30,3.568333333,99.480709,7,18.81,94.4
2019/6/30 10:45,3.633333333,101.140737,7,18.7,94.3
2019/6/30 11:00,3.271666667,97.372848,7,18.78,94.5
2019/6/30 11:15,2.336666667,70.229638,7,19.07,94.5
2019/6/30 11:30,2.631666667,74.469219,7,19.43,94
2019/6/30 11:45,2.658333333,77.338094,7,19.42,92.7
2019/6/30 12:00,2.518333333,74.424708,7,19.42,93
2019/6/30 12:15,2.676666667,75.966691,7,19.46,92.5
2019/6/30 12:30,2.74,78.222945,7,19.23,92.6
2019/6/30 12:45,2.518333333,74.846378,7,19.41,93
2019/6/30 13:00,2.601666667,74.382639,7,19.33,92.6
2019/6/30 13:15,2.655,77.018842,7,19.22,92.8
2019/6/30 13:30,2.59,75.89218,7,19.13,93.1
2019/6/30 13:45,2.676666667,76.190781,7,18.89,93.8
2019/6/30 14:00,2.763333333,77.732346,7,18.63,94.6
2019/6/30 14:15,2.558333333,75.713926,7,18.51,95
2019/6/30 14:30,2.563333333,73.715879,7,18.59,95.4
2019/6/30 14:45,2.678333333,76.126108,7,18.64,95.6
2019/6/30 15:00,2.736666667,77.784112,7,18.72,95.8
2019/6/30 15:15,2.75,77.35728,7,18.73,96
2019/6/30 15:30,2.755,78.651173,7,18.83,96
2019/6/30 15:45,2.55,75.040329,7,18.77,95.4
2019/6/30 16:00,2.58,73.871179,7,18.42,95.4
2019/6/30 16:15,2.628333333,76.245269,7,18.42,95.5
2019/6/30 16:30,2.633333333,77.602859,7,18.48,95.8
2019/6/30 16:45,2.59,75.45851,7,18.42,95.8
2019/6/30 17:00,2.7,75.837762,7,18.43,95.9
2019/6/30 17:15,2.631666667,76.782612,7,18.39,95.9
2019/6/30 17:30,2.495,73.421812,7,18.28,95.8
2019/6/30 17:45,2.626666667,76.196921,7,18.32,95.8
2019/6/30 18:00,2.611666667,75.652462,7,18.31,95.6
2019/6/30 18:15,2.65,75.986365,7,18.34,95.4
2019/6/30 18:30,2.578333333,76.197898,7,18.22,94.8
2019/6/30 18:45,2.433333333,72.523845,7,18.19,94.6
2019/6/30 19:00,2.481666667,72.717797,7,18.25,94.1
2019/6/30 19:15,2.496666667,73.99341,7,18.24,94.3
2019/6/30 19:30,2.56,74.905958,7,18.31,94.4
2019/6/30 19:45,2.698333333,77.259328,7,18.42,94.3
2019/6/30 20:00,2.561666667,76.992121,7,18.37,94.6
2019/6/30 20:15,2.528333333,73.873551,7,18.45,94.6
2019/6/30 20:30,2.498333333,73.624484,7,18.32,94.5
2019/6/30 20:45,2.458333333,72.548613,7,18.28,94.5
2019/6/30 21:00,2.548333333,74.137897,7,18.19,94.3
2019/6/30 21:15,2.596666667,75.761437,7,18.07,94.3
2019/6/30 21:30,2.508333333,75.914157,7,18.13,94.5
2019/6/30 21:45,2.411666667,72.382847,7,17.92,94.1
2019/6/30 22:00,2.343333333,70.5281,7,17.89,94.2
2019/6/30 22:15,2.453333333,72.092966,7,17.81,94
2019/6/30 22:30,2.501666667,74.036875,7,17.8,94
2019/6/30 22:45,2.491666667,74.158129,7,17.69,94.1
2019/6/30 23:00,2.43,74.052014,7,17.62,94.5
2019/6/30 23:15,2.343333333,70.920468,7,17.64,94.7
2019/6/30 23:30,2.413333333,71.624693,7,17.67,94.7
2019/6/30 23:45,2.503333333,73.981411,7,17.88,94.8
2019/7/1 0:00,2.42,73.038165,7,17.97,94.5
2019/7/1 0:15,2.495,72.899609,7,17.93,94.1
2019/7/1 0:30,2.438333333,72.979073,7,17.67,94.2
