,G_Ld,Q_Ld,1071019,1071005,1071006
2019/6/30 0:00,0.169916667,4.8295312,7,17.75,94
2019/6/30 0:15,0.170083334,4.820029,7,17.86,93.6
2019/6/30 0:30,0.167666667,4.77961665,7,17.48,93.9
2019/6/30 0:45,0.169166667,4.8365393,7,17.57,95.2
2019/6/30 1:00,0.178666667,5.06327395,7,17.82,95.3
2019/6/30 1:15,0.175583333,5.02734415,7,17.68,95
2019/6/30 1:30,0.170583333,4.8984642,7,17.73,95.3
2019/6/30 1:45,0.168166667,4.78683055,7,17.81,95.4
2019/6/30 2:00,0.1715,4.83146025,7,17.74,95
2019/6/30 2:15,0.168166667,4.7797911,7,17.76,94.2
2019/6/30 2:30,0.168833333,4.79167235,7,17.32,94.2
2019/6/30 2:45,0.167833334,4.8054443,7,17.27,94.5
2019/6/30 3:00,0.169666667,4.87924345,7,17.17,94.5
2019/6/30 3:15,0.163666667,4.7752074,7,17.12,94.3
2019/6/30 3:30,0.161083334,4.6863491,7,17.16,94.2
2019/6/30 3:45,0.161333333,4.6598552,7,17.1,93.9
2019/6/30 4:00,0.1695,4.76092615,7,17.12,94.2
2019/6/30 4:15,0.166,4.76684935,7,17.15,94
2019/6/30 4:30,0.163583333,4.71114765,7,17.19,94.4
2019/6/30 4:45,0.162583334,4.66193075,7,17.28,94.6
2019/6/30 5:00,0.16775,4.7258161,7,17.24,94.6
2019/6/30 5:15,0.166416667,4.75791575,7,17.19,95
2019/6/30 5:30,0.167166667,4.76536335,7,17.23,95.1
2019/6/30 5:45,0.164,4.7368776,7,17.12,95
2019/6/30 6:00,0.166666667,4.74413335,7,17.03,95.2
2019/6/30 6:15,0.16525,4.67613875,7,17.23,95.6
2019/6/30 6:30,0.165166667,4.63921125,7,17.47,95.6
2019/6/30 6:45,0.170916667,4.80787215,7,17.35,95.4
2019/6/30 7:00,0.173166667,4.85666695,7,17.52,95.8
2019/6/30 7:15,0.171583334,4.8338079,7,17.96,95.8
2019/6/30 7:30,0.169166667,4.808214,7,18.04,95.5
2019/6/30 7:45,0.1665,4.76726795,7,17.85,95.1
2019/6/30 8:00,0.170333333,4.7486821,7,17.7,95.2
2019/6/30 8:15,0.173,4.8447508,7,17.66,95.3
2019/6/30 8:30,0.167916667,4.77971435,7,17.74,95.4
2019/6/30 8:45,0.167666667,4.7585611,7,17.76,95.4
2019/6/30 9:00,0.173166667,4.81317445,7,17.81,95.4
2019/6/30 9:15,0.169583333,4.81295815,7,18.06,95
2019/6/30 9:30,0.17525,4.9517764,7,18.05,94.7
2019/6/30 9:45,0.181333334,5.0553485,7,18.43,95
2019/6/30 10:00,0.179416667,5.06950765,7,18.52,94.7
2019/6/30 10:15,0.173333333,4.94841015,7,18.7,94.6
2019/6/30 10:30,0.178416667,4.97403545,7,18.81,94.4
2019/6/30 10:45,0.181666667,5.05703685,7,18.7,94.3
2019/6/30 11:00,0.163583333,4.8686424,7,18.78,94.5
2019/6/30 11:15,0.116833334,3.5114819,7,19.07,94.5
2019/6/30 11:30,0.131583333,3.72346095,7,19.43,94
2019/6/30 11:45,0.132916667,3.8669047,7,19.42,92.7
2019/6/30 12:00,0.125916667,3.7212354,7,19.42,93
2019/6/30 12:15,0.133833333,3.79833455,7,19.46,92.5
2019/6/30 12:30,0.137,3.91114725,7,19.23,92.6
2019/6/30 12:45,0.125916667,3.7423189,7,19.41,93
2019/6/30 13:00,0.130083333,3.71913195,7,19.33,92.6
2019/6/30 13:15,0.13275,3.8509421,7,19.22,92.8
2019/6/30 13:30,0.1295,3.794609,7,19.13,93.1
2019/6/30 13:45,0.133833333,3.80953905,7,18.89,93.8
2019/6/30 14:00,0.138166667,3.8866173,7,18.63,94.6
2019/6/30 14:15,0.127916667,3.7856963,7,18.51,95
2019/6/30 14:30,0.128166667,3.68579395,7,18.59,95.4
2019/6/30 14:45,0.133916667,3.8063054,7,18.64,95.6
2019/6/30 15:00,0.136833333,3.8892056,7,18.72,95.8
2019/6/30 15:15,0.1375,3.867864,7,18.73,96
2019/6/30 15:30,0.13775,3.93255865,7,18.83,96
2019/6/30 15:45,0.1275,3.75201645,7,18.77,95.4
2019/6/30 16:00,0.129,3.69355895,7,18.42,95.4
2019/6/30 16:15,0.131416667,3.81226345,7,18.42,95.5
2019/6/30 16:30,0.131666667,3.88014295,7,18.48,95.8
2019/6/30 16:45,0.1295,3.7729255,7,18.42,95.8
