,AHU_g,AHU_tin,AHU_tout,g_load,CP1_g,CP1_inv,CP1_pw,CP1_dp,CP1_ef,AHP1_g_ch,AHP1_tin_ch,AHP1_tout_ch,AHP1_COP,AHP1_pw,AHP1_pl,tdb
2018/8/21 0:00,0,10.73333333,10.73333333,0,0,0,0,0,0,0,11.26666667,11.26666667,0,0,0,26.71166667
2018/8/21 0:15,0,11.26666667,11.26666667,0,0,0,0,0,0,0,10.73333333,10.73333333,0,0,0,26.74833333
2018/8/21 0:30,0,10.73333333,10.73333333,0,0,0,0,0,0,0,11.26666667,11.26666667,0,0,0,26.77888873
2018/8/21 0:45,0,11.26666667,11.26666667,0,0,0,0,0,0,0,10.73333333,10.73333333,0,0,0,26.79111093
2018/8/21 1:00,0,10.73333333,10.73333333,0,0,0,0,0,0,0,11.26666667,11.26666667,0,0,0,26.8
2018/8/21 1:15,0,11.26666667,11.26666667,0,0,0,0,0,0,0,10.73333333,10.73333333,0,0,0,26.8
2018/8/21 1:30,0,10.73333333,10.73333333,0,0,0,0,0,0,0,11.26666667,11.26666667,0,0,0,26.8
2018/8/21 1:45,0,11.26666667,11.26666667,0,0,0,0,0,0,0,10.73333333,10.73333333,0,0,0,26.80388873
2018/8/21 2:00,0,10.73333333,10.73333333,0,0,0,0,0,0,0,11.26666667,11.26666667,0,0,0,26.808333
2018/8/21 2:15,0,11.26666667,11.26666667,0,0,0,0,0,0,0,10.73333333,10.73333333,0,0,0,26.80444427
2018/8/21 2:30,0,10.73333333,10.73333333,0,0,0,0,0,0,0,11.26666667,11.26666667,0,0,0,26.83111127
2018/8/21 2:45,0,11.26666667,11.26666667,0,0,0,0,0,0,0,10.73333333,10.73333333,0,0,0,26.87444447
2018/8/21 3:00,0,10.73333333,10.73333333,0,0,0,0,0,0,0,11.26666667,11.26666667,0,0,0,26.8872222
2018/8/21 3:15,0,11.26666667,11.26666667,0,0,0,0,0,0,0,10.73333333,10.73333333,0,0,0,26.8877778
