,cnt0,cnt1,cnt2,g_ab,g_bc,g_gh,g_de,g_ef,g_eb,dp_SA1,dp_RA1,dp_EA1,pw_SA1,pw_RA1,pw_EA1,flag_SA1,flag_RA1,flag_EA1,p_b,p_c,p_e
0,51,51,9,6.30491445418262,25.31817059599892,4.833984375,20.48418622099892,1.4709300791826188,19.013256141816303,463.3050364785604,217.48179560605152,171.7230341420015,0.38899552791179653,0.1620897030601697,0.1012034036950828,0,0,0,-1.0383672755634759,-171.48678915583457,7.333082777645785
1,15,51,0,2.66876220703125,24.141751726710915,0.91552734375,23.226224382960915,1.75323486328125,21.472989519679665,464.37713093818155,172.61110083606374,112.04179301907345,0.3774397600778472,0.13702099014233007,0.04966618394177993,0,0,0,-0.18604258004309804,-112.03545160712576,10.870284708149654
2,14,18,51,1.7913818359375,23.84022626793012,1.1102230246251565e-14,23.84022626793011,1.7913818359374893,22.04884443199262,464.6521622935191,161.08093623043715,63.58319999999999,0.3746791853566735,0.12989000990634636,1.146487569339054e-15,0,0,0,-0.08382410566439208,-97.35419086671936,11.358650534759306
3,14,18,51,1.7913818359375,23.84022626793012,1.1102230246251565e-14,23.84022626793011,1.7913818359374893,22.04884443199262,464.6521622935191,161.08093623043715,28.259199999999996,0.3746791853566735,0.12989000990634636,5.095500308173573e-16,0,0,0,-0.08382410566439208,-97.35419086671936,11.358650534759306
4,14,18,51,1.7913818359375,23.84022626793012,1.1102230246251565e-14,23.84022626793011,1.7913818359374893,22.04884443199262,464.6521622935191,161.08093623043715,7.064799999999998,0.3746791853566735,0.12989000990634636,1.273875077043393e-16,0,0,0,-0.08382410566439208,-97.35419086671936,11.358650534759306
5,14,18,51,1.7913818359375,23.84022626793012,1.1102230246251565e-14,23.84022626793011,1.7913818359374893,22.04884443199262,464.6521622935191,161.08093623043715,0.0,0.3746791853566735,0.12989000990634636,0.0,0,0,2,-0.08382410566439208,-97.35419086671936,11.358650534759306
6,51,19,0,2.220446049250313e-14,24.88946914672853,12.7838134765625,12.10565567016603,-12.783813476562479,24.88946914672851,463.69571272356166,176.8525625976476,150.41806865121873,0.38463380974700584,0.11478368007100816,0.09850102750507594,0,0,0,-1.2878730252842303e-29,-148.77731285505604,14.572486213163785
7,51,18,0,2.220446049250313e-14,23.797798156738295,18.77899169921875,5.0188064575195455,-18.77899169921873,23.797798156738274,464.6908814975119,110.87965027084645,98.76930744371764,0.3742969593368889,0.06557190731738147,0.07114686908716276,0,0,0,-1.2878730252842303e-29,-95.2333362780588,13.32546478161646
8,51,17,12,2.220446049250313e-14,22.59178161621095,22.515869140625,0.07591247558595171,-22.51586914062498,22.59178161621093,465.7946119868374,50.83310408814665,43.8842330555604,0.3640386368786286,0.005243426729385349,0.034234986547030014,0,0,0,-1.2878730252842303e-29,-38.81632720374597,12.016245911523434
9,51,51,51,49.99999999999998,50.0,1.1102230246251565e-14,49.999999999999986,49.999999999999964,2.1316282072803006e-14,432.815,17434.606999999978,176.61999999999998,0.0,0.0,3.1846876926084827e-15,1,1,0,-65.30292054077194,-2104.1876340407716,15100.070521959206
10,51,15,51,2.220446049250313e-14,21.449279785156264,24.99999999999999,-3.550720214843725,-24.999999999999968,21.449279785156243,466.849017030576,0.0,-3.5999999999997954,0.3553137477007721,0.0,0.0,0,2,2,-1.2878730252842303e-29,11.985477002246284,10.823817273983657
11,14,51,0,6.3018798828125,25.318123423494377,4.84619140625,20.471932017244377,1.4556884765625,19.016243540681877,463.30507947831325,217.65865190670547,171.71164486729418,0.3889950380211728,0.16217965677084611,0.10122030821436162,0,0,0,-1.0373679784796146,-171.48338525787568,7.559586392879282
12,51,51,0,2.220446049250313e-14,25.329685211181626,5.26123046875,20.068454742431626,-5.261230468749979,25.329685211181605,463.29454031074147,223.3673713459654,171.30866770645358,0.3891151748288,0.16504322255158257,0.1017439615212745,0,0,0,-1.2878730252842303e-29,-171.03550683345907,15.223322169296779
13,51,51,0,2.220446049250313e-14,25.329685211181626,5.26123046875,20.068454742431626,-5.261230468749979,25.329685211181605,463.29454031074147,223.3673713459654,171.30866770645358,0.3891151748288,0.16504322255158257,0.1017439615212745,0,0,0,-1.2878730252842303e-29,-171.03550683345907,15.223322169296779
14,51,51,0,2.220446049250313e-14,25.329685211181626,5.26123046875,20.068454742431626,-5.261230468749979,25.329685211181605,463.29454031074147,223.3673713459654,171.30866770645358,0.3891151748288,0.16504322255158257,0.1017439615212745,0,0,0,-1.2878730252842303e-29,-171.03550683345907,15.223322169296779
15,51,51,0,2.220446049250313e-14,25.329685211181626,5.26123046875,20.068454742431626,-5.261230468749979,25.329685211181605,463.29454031074147,223.3673713459654,171.30866770645358,0.3891151748288,0.16504322255158257,0.1017439615212745,0,0,0,-1.2878730252842303e-29,-171.03550683345907,15.223322169296779
